		
model_5      -E  -n0   -o0   -S0   		Command exited with non-zero status 124 179.54	
model_5      -E  -n0   -o0   -S1   		Command exited with non-zero status 124 179.49	
model_5      -E  -n0   -o0   -S2   		Command exited with non-zero status 124 179.78	
model_5      -E  -n0   -o1   -S0   		Command exited with non-zero status 124 179.87	
model_5      -E  -n0   -o1   -S1   		Command exited with non-zero status 124 179.89	
model_5      -E  -n0   -o1   -S2   		Command exited with non-zero status 124 179.82	
model_5      -E  -n0   -o2   -S0   		Command exited with non-zero status 124 179.87	
model_5      -E  -n0   -o2   -S1   		Command exited with non-zero status 124 179.93	
model_5      -E  -n0   -o2   -S2   		Command exited with non-zero status 124 179.82	
model_5      -E  -n0   -o3   -S0   		Command exited with non-zero status 124 179.58	
model_5      -E  -n0   -o3   -S1   		Command exited with non-zero status 124 179.62	
model_5      -E  -n0   -o3   -S2   		Command exited with non-zero status 124 179.65	
model_5      -E  -n0   -o4   -S0   		Command exited with non-zero status 124 179.89	
model_5      -E  -n0   -o4   -S1   		Command exited with non-zero status 124 179.91	
model_5      -E  -n0   -o4   -S2   		Command exited with non-zero status 124 179.83	
model_5      -E  -n1   -o0   -S0   		Command exited with non-zero status 124 179.71	
model_5      -E  -n1   -o0   -S1   		Command exited with non-zero status 124 179.75	
model_5      -E  -n1   -o0   -S2   		Command exited with non-zero status 124 179.76	
model_5      -E  -n1   -o1   -S0   		Command exited with non-zero status 124 179.90	
model_5      -E  -n1   -o1   -S1   		Command exited with non-zero status 124 179.85	
model_5      -E  -n1   -o1   -S2   		Command exited with non-zero status 124 179.78	
model_5      -E  -n1   -o2   -S0   		Command exited with non-zero status 124 179.83	
model_5      -E  -n1   -o2   -S1   		Command exited with non-zero status 124 179.93	
model_5      -E  -n1   -o2   -S2   		Command exited with non-zero status 124 179.88	
model_5      -E  -n1   -o3   -S0   		Command exited with non-zero status 124 179.55	
model_5      -E  -n1   -o3   -S1   		Command exited with non-zero status 124 179.56	
model_5      -E  -n1   -o3   -S2   		Command exited with non-zero status 124 179.67	
model_5      -E  -n1   -o4   -S0   		Command exited with non-zero status 124 179.91	
model_5      -E  -n1   -o4   -S1   		Command exited with non-zero status 124 179.85	
model_5      -E  -n1   -o4   -S2   		Command exited with non-zero status 124 179.85	
model_5      -E  -n2   -o0   -S0   		Command exited with non-zero status 124 179.70	
model_5      -E  -n2   -o0   -S1   		Command exited with non-zero status 124 179.76	
model_5      -E  -n2   -o0   -S2   		Command exited with non-zero status 124 179.76	
