		
model_5      -E  -n0   -o0   -S0   		Command exited with non-zero status 124 29.53	
model_5      -E  -n0   -o0   -S1   		Command exited with non-zero status 124 29.90	
model_5      -E  -n0   -o0   -S2   		Command exited with non-zero status 124 29.91	
model_5      -E  -n0   -o1   -S0   		Command exited with non-zero status 124 29.93	
model_5      -E  -n0   -o1   -S1   		Command exited with non-zero status 124 29.93	
model_5      -E  -n0   -o1   -S2   		Command exited with non-zero status 124 29.95	
model_5      -E  -n0   -o2   -S0   		Command exited with non-zero status 124 29.97	
model_5      -E  -n0   -o2   -S1   		Command exited with non-zero status 124 29.98	
model_5      -E  -n0   -o2   -S2   		Command exited with non-zero status 124 29.95	
model_5      -E  -n0   -o3   -S0   		2.66	
model_5      -E  -n0   -o3   -S1   		16.82	
model_5      -E  -n0   -o3   -S2   		18.51	
model_5      -E  -n0   -o4   -S0   		Command exited with non-zero status 124 29.89	
model_5      -E  -n0   -o4   -S1   		13.15	
model_5      -E  -n0   -o4   -S2   		Command exited with non-zero status 124 29.83	
model_5      -E  -n1   -o0   -S0   		Command exited with non-zero status 124 29.88	
model_5      -E  -n1   -o0   -S1   		Command exited with non-zero status 124 29.88	
model_5      -E  -n1   -o0   -S2   		Command exited with non-zero status 124 29.91	
model_5      -E  -n1   -o1   -S0   		Command exited with non-zero status 124 29.90	
model_5      -E  -n1   -o1   -S1   		Command exited with non-zero status 124 29.38	
model_5      -E  -n1   -o1   -S2   		Command exited with non-zero status 124 29.93	
model_5      -E  -n1   -o2   -S0   		Command exited with non-zero status 124 29.95	
model_5      -E  -n1   -o2   -S1   		Command exited with non-zero status 124 29.88	
model_5      -E  -n1   -o2   -S2   		Command exited with non-zero status 124 29.67	
model_5      -E  -n1   -o3   -S0   		Command exited with non-zero status 124 29.75	
model_5      -E  -n1   -o3   -S1   		2.63	
model_5      -E  -n1   -o3   -S2   		Command exited with non-zero status 124 29.89	
model_5      -E  -n1   -o4   -S0   		Command exited with non-zero status 124 29.82	
model_5      -E  -n1   -o4   -S1   		23.95	
model_5      -E  -n1   -o4   -S2   		Command exited with non-zero status 124 29.74	
model_5      -E  -n2   -o0   -S0   		Command exited with non-zero status 124 29.90	
model_5      -E  -n2   -o0   -S1   		Command exited with non-zero status 124 29.82	
model_5      -E  -n2   -o0   -S2   		Command exited with non-zero status 124 29.92	
model_5      -E  -n2   -o1   -S0   		Command exited with non-zero status 124 29.93	
model_5      -E  -n2   -o1   -S1   		Command exited with non-zero status 124 29.96	
model_5      -E  -n2   -o1   -S2   		Command exited with non-zero status 124 29.95	
model_5      -E  -n2   -o2   -S0   		7.12	
model_5      -E  -n2   -o2   -S1   		Command exited with non-zero status 124 29.85	
model_5      -E  -n2   -o2   -S2   		Command exited with non-zero status 124 29.97	
model_5      -E  -n2   -o3   -S0   		2.63	
