model_1   -C  -E  -n0   -o4   -S1   		38.59	
model_1   -C  -E  -n0   -o4   -S2   		28.09	
model_1   -C  -E  -n1   -o0   -S0   		Command exited with non-zero status 124 59.19	
model_1   -C  -E  -n1   -o0   -S1   		Command exited with non-zero status 124 58.62	
model_1   -C  -E  -n1   -o0   -S2   		Command exited with non-zero status 124 59.21	
model_1   -C  -E  -n1   -o1   -S0   		Command exited with non-zero status 124 59.29	
model_1   -C  -E  -n1   -o1   -S1   		Command exited with non-zero status 124 58.72	
model_1   -C  -E  -n1   -o1   -S2   		Command exited with non-zero status 124 59.57	
model_1   -C  -E  -n1   -o2   -S0   		2.79	
model_1   -C  -E  -n1   -o2   -S1   		6.17	
model_1   -C  -E  -n1   -o2   -S2   		2.51	
model_1   -C  -E  -n1   -o3   -S0   		0.68	
model_1   -C  -E  -n1   -o3   -S1   		0.62	
model_1   -C  -E  -n1   -o3   -S2   		0.53	
model_1   -C  -E  -n1   -o4   -S0   		8.00	
model_1   -C  -E  -n1   -o4   -S1   		51.78	
model_1   -C  -E  -n1   -o4   -S2   		8.53	
model_1   -C  -E  -n2   -o0   -S0   		Command exited with non-zero status 124 59.51	
model_1   -C  -E  -n2   -o0   -S1   		Command exited with non-zero status 124 59.36	
model_1   -C  -E  -n2   -o0   -S2   		Command exited with non-zero status 124 59.64	
model_1   -C  -E  -n2   -o1   -S0   		Command exited with non-zero status 124 59.69	
model_1   -C  -E  -n2   -o1   -S1   		Command exited with non-zero status 124 59.88	
model_1   -C  -E  -n2   -o1   -S2   		Command terminated by signal 15 38.20	
model_1   -C  -E  -n2   -o2   -S0   		0.04	
model_1   -C  -E  -n2   -o2   -S1   		0.03	
model_1   -C  -E  -n2   -o2   -S2   		0.05	
model_1   -C  -E  -n2   -o3   -S0   		0.51	
model_1   -C  -E  -n2   -o3   -S1   		0.26	
model_1   -C  -E  -n2   -o3   -S2   		0.57	
model_1   -C  -E  -n2   -o4   -S0   		25.09	
model_1   -C  -E  -n2   -o4   -S1   		14.45	
model_1   -C  -E  -n2   -o4   -S2   		1.51	
model_1   -C  -E  -n3   -o0   -S0   		Command terminated by signal 15 6.17	
model_1   -C  -E  -n3   -o0   -S1   		Command terminated by signal 15 1.23	
model_1   -C  -E  -n3   -o0   -S2   		Command terminated by signal 15 1.79	
model_1   -C  -E  -n3   -o1   -S0   		Command terminated by signal 15 0.97	
model_1   -C  -E  -n3   -o1   -S1   		Command terminated by signal 15 0.71	
model_1   -C  -E  -n3   -o1   -S2   		Command terminated by signal 15 1.13	
model_1   -C  -E  -n3   -o2   -S0   		0.01	
model_1   -C  -E  -n3   -o2   -S1   		0.01	
model_1   -C  -E  -n3   -o2   -S2   		0.01	
model_1   -C  -E  -n3   -o3   -S0   		0.37	
model_1   -C  -E  -n3   -o3   -S1   		0.48	
